parcel_id,hemisphere,parcel,n_voxels,mean_effect,median_effect,mean_z,minimum_z,maximum_z,percent_z_ge_3.1,percent_z_le_minus_3.1,absolute_mean_effect
7,Left,Left Precentral Gyrus,4157,0.049384329468011856,0.1332601010799408,0.15051139891147614,-3.069023370742798,2.831982374191284,0.0,0.0,0.049384329468011856
31,Right,Right Precuneous Cortex,6093,-0.04828503355383873,-0.1614731103181839,-0.11434542387723923,-3.1527395248413086,3.863290786743164,0.41030690956835714,0.016412276382734285,0.04828503355383873
12,Left,"Left Middle Temporal Gyrus, posterior division",3126,0.04250336065888405,-0.03202289342880249,0.043564409017562866,-2.1337788105010986,4.042727947235107,0.5758157389635317,0.0,0.04250336065888405
17,Left,Left Postcentral Gyrus,3074,0.041028641164302826,0.01992856338620186,0.04748585447669029,-2.3350861072540283,2.8190343379974365,0.0,0.0,0.041028641164302826
10,Left,"Left Superior Temporal Gyrus, posterior division",3242,-0.03903796523809433,-0.07787367701530457,-0.04269769787788391,-4.072119235992432,4.249601364135742,1.6964836520666253,2.282541640962369,0.03903796523809433
38,Left,"Left Temporal Fusiform Cortex, posterior division",1342,-0.03820670768618584,-0.06384241580963135,-0.03916903957724571,-2.4177284240722656,2.470418930053711,0.0,0.0,0.03820670768618584
24,Right,Right Intracalcarine Cortex,3279,0.03681453317403793,0.040999751538038254,0.13421358168125153,-1.9197709560394287,2.8667032718658447,0.0,0.0,0.03681453317403793
41,Right,Right Frontal Opercular Cortex,1366,0.03287277743220329,0.15585647523403168,0.019435284659266472,-3.3279197216033936,2.9509799480438232,0.0,0.6588579795021963,0.03287277743220329
16,Left,"Left Inferior Temporal Gyrus, temporooccipital part",2035,0.02619793824851513,0.06345360726118088,0.028184767812490463,-2.197617769241333,2.874248743057251,0.0,0.0,0.02619793824851513
8,Left,Left Temporal Pole,1518,0.02589583396911621,4.238278244097151e-17,0.1245957538485527,-2.762852191925049,2.6474852561950684,0.0,0.0,0.02589583396911621
22,Left,"Left Lateral Occipital Cortex, superior division",11734,-0.013356566429138184,-0.025606807321310043,-0.07473370432853699,-3.391376495361328,3.9477169513702393,0.2982785069030169,0.2215783194136697,0.013356566429138184
